feature,target,rho,p_raw,p_fdr,sig_fdr
AppCategory_NEWS_hours,GAD7_score,0.10357851228485306,0.014909127953569024,0.20127322737318182,False
AppCategory_GAME_hours,GAD7_score,0.07939704820883883,0.062304388071885326,0.29203255861910915,False
AppCategory_IMAGE_hours,GAD7_score,0.07899749819085923,0.06363722350151367,0.29203255861910915,False
AppCategory_PRODUCTIVITY_hours,GAD7_score,0.05134014211415829,0.22848130069614275,0.8416174183943423,False
AppCategory_SOCIAL_hours,GAD7_score,0.043281239512338185,0.3100822506262619,0.8416174183943423,False
AppCategory_UNDEFINED_hours,GAD7_score,-0.041782330593595624,0.32715268966450095,0.8416174183943423,False
AppCategory_MAPS_hours,GAD7_score,-0.023035140400880696,0.5891638682201648,0.8837458023302471,False
AppCategory_AUDIO_hours,GAD7_score,0.01486307641702829,0.7275166135701012,0.9241090795583757,False
AppCategory_VIDEO_hours,GAD7_score,-0.01776244220219256,0.6771102010925654,0.9241090795583757,False
AppCategory_IMAGE_hours,PHQ9_score,0.10424681866825672,0.014270824909520622,0.20127322737318182,False
AppCategory_UNDEFINED_hours,PHQ9_score,-0.08297910897182585,0.05135401180265703,0.29203255861910915,False
AppCategory_GAME_hours,PHQ9_score,0.041944541747693256,0.3252765100108327,0.8416174183943423,False
AppCategory_NEWS_hours,PHQ9_score,0.03790679407098731,0.374052185953041,0.8416174183943423,False
AppCategory_AUDIO_hours,PHQ9_score,0.030031062579156317,0.4813520617804319,0.8837458023302471,False
AppCategory_MAPS_hours,PHQ9_score,0.02453623515279009,0.5651216703316922,0.8837458023302471,False
AppCategory_SOCIAL_hours,PHQ9_score,0.0267263984278381,0.530910518181857,0.8837458023302471,False
AppCategory_VIDEO_hours,PHQ9_score,-0.009543222816071869,0.8229815635741027,0.9258542590208656,False
AppCategory_PRODUCTIVITY_hours,PHQ9_score,-0.001661962278882611,0.9689232487013226,0.9689232487013226,False
AppCategory_UNDEFINED_hours,Stress_score,-0.07862639386967264,0.06489612413757981,0.29203255861910915,False
AppCategory_PRODUCTIVITY_hours,Stress_score,-0.039861891551584414,0.349896040962134,0.8416174183943423,False
AppCategory_IMAGE_hours,Stress_score,0.026663741600438516,0.5318744846394106,0.8837458023302471,False
AppCategory_MAPS_hours,Stress_score,0.025283502991552614,0.5533310656542596,0.8837458023302471,False
AppCategory_GAME_hours,Stress_score,0.01503607842896634,0.7244730851119043,0.9241090795583757,False
AppCategory_NEWS_hours,Stress_score,0.013425004842001301,0.7529777685290469,0.9241090795583757,False
AppCategory_VIDEO_hours,Stress_score,-0.010530517764782364,0.8050187816919389,0.9258542590208656,False
AppCategory_AUDIO_hours,Stress_score,-0.007536473863267876,0.8597690464350738,0.9285505701498797,False
AppCategory_SOCIAL_hours,Stress_score,0.0027233163650827842,0.9490988028221091,0.9689232487013226,False
