feature,target,rho,p_raw,p_fdr,sig_fdr
AppCategory_GAME_hours,PHQ9_score,0.041944541747693256,0.3252765100108327,0.8397504983091215,False
AppCategory_GAME_hours,GAD7_score,0.07939704820883883,0.062304388071885326,0.7476526568626239,False
AppCategory_GAME_hours,Stress_score,0.01503607842896634,0.7244730851119043,0.9689232487013226,False
AppCategory_PRODUCTIVITY_hours,PHQ9_score,-0.001661962278882611,0.9689232487013226,0.9689232487013226,False
AppCategory_PRODUCTIVITY_hours,GAD7_score,0.05134014211415829,0.22848130069614275,0.8397504983091215,False
AppCategory_PRODUCTIVITY_hours,Stress_score,-0.039861891551584414,0.349896040962134,0.8397504983091215,False
AppCategory_SOCIAL_hours,PHQ9_score,0.0267263984278381,0.530910518181857,0.9689232487013226,False
AppCategory_SOCIAL_hours,GAD7_score,0.043281239512338185,0.3100822506262619,0.8397504983091215,False
AppCategory_SOCIAL_hours,Stress_score,0.0027233163650827842,0.9490988028221091,0.9689232487013226,False
AppCategory_VIDEO_hours,PHQ9_score,-0.009543222816071869,0.8229815635741027,0.9689232487013226,False
AppCategory_VIDEO_hours,GAD7_score,-0.01776244220219256,0.6771102010925654,0.9689232487013226,False
AppCategory_VIDEO_hours,Stress_score,-0.010530517764782364,0.8050187816919389,0.9689232487013226,False
